"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 23:20:09 IDT 2024","Sun Apr 14 23:20:16 IDT 2024","7035","Default Suite","PhoneBookQA42","tests.PhoneBookTests","tests.PhoneBookTests","successfulRegistration","successfulRegistration",""
"passed","Sun Apr 14 20:49:50 IDT 2024","Sun Apr 14 20:49:54 IDT 2024","3648","Default Suite","PhoneBookQA42","tests.PhoneBookTests","tests.PhoneBookTests","loginWithoutPasswordTestPositive","loginWithoutPasswordTestPositive","Login without password. Positive test."
